Song Title,Artist Name,Key,BPM,Year,Style
Never Tear Us Apart,INXS,Am,64,1988,Alternative,
Fix You,Coldplay,Eb,69,2005,Alternative,
Paradise,Coldplay,Dm,70,2011,Alternative,
The Scientist,Coldplay,F,73,2002,Alternative,
Don't Speak,No Doubt,Cm,76,1996,Alternative,
Fly Away,Lenny Kravitz,G,80,1998,Alternative,
Under the Bridge,Red Hot Chili Peppers,E,84,1992,Alternative,
Zombie,The Cranberries,Em,84,1994,Alternative,
How You Remind Me,Nickelback,Cm,86,2001,Alternative,
Wonderwall,Oasis,F#m,87,1995,Alternative,
Killing in the Name,Rage Against the Machine,Dm,88,1992,Alternative,
Scar Tissue,Red Hot Chili Peppers,F,89,1999,Alternative,
We Are Young,Fun & Janelle Monáe,F,92,2011,Alternative,
Ode to My Family,The Cranberries,D,95,1994,Alternative,
Linger,The Cranberries,D,95,1993,Alternative,
Sailor Song,Gigi Perez,G#m,95,2024,Alternative,
Thrift Shop,Macklemore & Ryan Lewis & Wanz,G#m,95,2012,Alternative,
Californication,Red Hot Chili Peppers,Am,97,1999,Alternative,
Electric Feel,MGMT,Cm,103,2007,Alternative,
Black Hole Sun,Soundgarden,Ab,106,1994,Alternative,
Snow (Hey Oh),Red Hot Chili Peppers,G#m,106,2006,Alternative,
Messy,Lola Young,A,111,2024,Alternative,
Too Sweet,Hozier,Gm,117,2024,Alternative,
Safe And Sound,Capital Cities,C,118,2011,Alternative,
Kids,MGMT,F#m,123,2008,Alternative,
Otherside,Red Hot Chili Peppers,C,124,2000,Alternative,
Sweater Weather,The Neighbourhood,Gm,124,2013,Alternative,
A Sky Full of Stars,Coldplay,Ebm,125,2014,Alternative,
Losing My Religion,R.E.M.,Am,126,1991,Alternative,
Budapest,George Ezra,F,128,2013,Alternative,
Dreams,The Cranberries,E,129,1992,Alternative,
All the Small Things,Blink-182,C,148,1999,Alternative,
Ride,Twenty One Pilots,F#,150,2015,Alternative,
As It Was,Harry Styles,A,174,2022,Alternative,
Clint Eastwood,Gorillaz,Ebm,84.010,2001,Alternative,
Yellow,Coldplay,B,86.750,2000,Alternative,
On Melancholy Hill,Gorillaz,D,120.410,2010,Alternative,
I Follow Rivers,Lykke Li,Dm,121.970,2011,Alternative,
Clocks,Coldplay,Eb,131.210,2002,Alternative,
Feel Good Inc.,Gorillaz,Ebm,138.520,2005,Alternative,
Crazy,Aerosmith,A,54,1993,Blues,
Don't Let Me Down,The Beatles,E,76,1969,Blues,
Feeling Good,Nina Simone,Gm,76,1965,Blues,
Ain't No Sunshine,Bill Withers,Am,79,1971,Blues,
Come Together,The Beatles,Dm,84,1969,Blues,
Rock Me Baby,B.B. King,C,90,1964,Blues,
I Got a Woman,Ray Charles,A,99,1954,Blues,
Sunshine of Your Love,Cream,D,116,1968,Blues,
(I Can't Get No) Satisfaction,The Rolling Stones,E,137,1965,Blues,
Hallelujah I Love Her So,Ray Charles,B,147,1956,Blues,
Hit the Road Jack,Ray Charles,G#m,172,1961,Blues,
Overjoyed,Stevie Wonder,Eb,83,1986,Christmas,
Say Something,Justin Timberlake & Chris Stapleton,Cm,97,2018,Country,
Hey Soul Sister (Country Mix),Train,E,97,2010,Country,
Man! I Feel Like a Woman!,Shania Twain,Bb,125,1996,Country,
Back at One,Mark Wills,B,64.925,1999,Country,
You're Still The One,Shania Twain,Eb,67.010,1997,Country,
Roar,Katy Perry,Bb,90,2013,Dance,
Single Ladies (Put a Ring on It),Beyoncé,E,97,2008,Dance,
Lean On,Major Lazer & MØ & DJ Snake,Gm,98,2015,Dance,
Pon de Replay,Rihanna,F#m,99,2005,Dance,
Someone Like You (remix),Ziggy in tha House,G,99,2025,Dance,
Sorry,Justin Bieber,Cm,100,2015,Dance,
Versace on the Floor (vs David Guetta),Bruno Mars,D,100,2017,Dance,
Stay,Zedd & Alessia Cara,Fm,102,2017,Dance,
What's Love Got to Do with It,Kygo,B,105,2020,Dance,
Dance the Night,Barbie (2023 film) (Dua Lipa),Bm,110,2023,Dance,
Kiss Me More,Doja Cat & SZA,Ab,111,2021,Dance,
A Little Less Conversation,Junkie XL & Elvis Presley,E,115,2002,Dance,
Cuff It,Beyoncé,Em,115,2022,Dance,
Break My Soul,Beyoncé,G#m,115,2022,Dance,
Cold Heart (PNAU remix),Dua Lipa & Elton John,Bbm,116,2021,Dance,
Murder on the Dancefloor (PNAU remix),Sophie Ellis Bextor,E,116,2024,Dance,
Sexyback,Justin Timberlake & Timbaland,Dm,117,2006,Dance,
Next to Me,Rüfüs Du Sol,Em,118,2021,Dance,
Bad Romance,Lady Gaga,Am,119,2009,Dance,
Poker Face,Lady Gaga,G#m,119,2008,Dance,
Stand by Me (remix),Ivan Jack (45 Stars),Bb,120,2021,Dance,
Dynamite,Taio Cruz,C#m,120,2010,Dance,
Alors on danse,Stromae,C#m,120,2009,Dance,
Just Dance,Lady Gaga & Colby O'Donis,C#m,120,2008,Dance,
I'm Every Woman,The Bodyguard (Whitney Houston),Cm,120,1993,Dance,
On My Knees,Rüfüs Du Sol,F,120,2021,Dance,
Call Me Maybe,Carly Rae Jepsen,G,120,2011,Dance,
Flowers (remix),Max Oazo & Miley Cyrus & Bonzana,Bm,122,2023,Dance,
How Deep Is Your Love,Calvin Harris,Em,122,2015,Dance,
Bleeding Love (remix),Leona Lewis,F,122,2008,Dance,
Telephone,Lady Gaga & Beyoncé,Fm,122,2009,Dance,
Rain on Me,Lady Gaga & Ariana Grande,C#m,123,2020,Dance,
One Kiss,Calvin Harris & Dua Lipa,Am,124,2018,Dance,
This Is What You Came For,Calvin Harris & Rihanna,Am,124,2016,Dance,
Bailamos (remix),Enrique Iglesias,Am,124,1999,Dance,
Wake Me Up!,Avicii & Aloe Blacc,Bm,124,2013,Dance,
Lose Control,Meduza & Becky Hill & Goodboys,Cm,124,2019,Dance,
Someone You Loved (Future Humans Remix),Lewis Capaldi,Db,124,2019,Dance,
A Sky Full of Stars,Coldplay,Ebm,125,2014,Dance,
California Gurls,Katy Perry & Snoop Dogg,F,125,2010,Dance,
I Love It,Icona Pop & Charli XCX,Ab,126,2012,Dance,
Bésame mucho (Techno Remix),Dalida,Am,126,1997,Dance,
Hotel Room Service,Pitbull & Nicole Scherzinger,B,126,2009,Dance,
Bad Habits,Ed Sheeran,Bm,126,2021,Dance,
Summertime Sadness (Cedric Gervais Remix),Lana Del Rey,C#m,126,2012,Dance,
Levels (album version),Avicii,C#m,126,2011,Dance,
Only Girl (In the World),Rihanna,D,126,2010,Dance,
Everything (i-Soul Remix),Michael Bublé,D,126,2008,Dance,
Titanium,David Guetta & Sia,Eb,126,2011,Dance,
Closer,Ne-Yo,Em,126,2008,Dance,
Shivers (remix Ofenbach),Ed Sheeran,Bm,127,2021,Dance,
Mr. Saxobeat,Alexandra Stan,Bm,127,2010,Dance,
Waka Waka (Remix),Shakira,D,127,2010,Dance,
I Know You Want Me (Calle Ocho),Pitbull,Dm,127,2009,Dance,
Pursuit of Happiness (Steve Aoki remix),Kid Cudi & MGMT & Ratatat,Am,128,2009,Dance,
I Will Survive (Remix),Gloria Gaynor,Am,128,1990,Dance,
Moves Like Jagger,Maroon 5 & Christina Aguilera,Bm,128,2011,Dance,
Where Have You Been,Rihanna,Cm,128,2011,Dance,
Without You,David Guetta & Usher,D,128,2011,Dance,
Love Generation,Bob Sinclar & Gary Pine,Db,128,2005,Dance,
Destination Calabria,Alex Gaudino,Dm,128,2007,Dance,
The Time (Dirty Bit),Black Eyed Peas,E,128,2010,Dance,
We Found Love,Rihanna & Calvin Harris,Ebm,128,2011,Dance,
Tremor,Dimitri Vegas & Like Mike,F#m,128,2014,Dance,
All of Me (Tiësto Remix),John Legend,Fm,128,2014,Dance,
Summer,Calvin Harris,G,128,2014,Dance,
I Gotta Feeling,Black Eyed Peas,G,128,2009,Dance,
I Gotta Feeling (David Guetta FMIF Remix),Black Eyed Peas,G,128,2009,Dance,
Fergalicious,Fergie & will.i.am,Bbm,129,2006,Dance,
Don't You Worry Child,Swedish House Mafia & John Martin,Bm,129,2012,Dance,
Give Me Everything Tonight,Pitbull,Eb,129,2011,Dance,
Danza kuduro,Don Omar & Lucenzo,Am,130,2010,Dance,
Boom Boom Pow,Black Eyed Peas,Am,130,2009,Dance,
Satisfaction,Benny Benassi,Bb,130,2002,Dance,
Memories,David Guetta & Kid Cudi,Bbm,130,2009,Dance,
Timber,Pitbull & Kesha,G#m,130,2013,Dance,
Scream & Shout,will.i.am & Britney Spears,Gm,130,2012,Dance,
Hot n Cold,Katy Perry,G,132,2008,Dance,
L'amour Toujours,Gigi D'Agostino,D,135,2000,Dance,
Right Now (Na Na Na),Akon,B,138,2008,Dance,
Something Just Like This,The Chainsmokers & Coldplay,Bm,103.007,2017,Dance,
Around the World,Daft Punk,Em,121.300,1997,Dance,
Don't Stop the Music,Rihanna,F#m,122.700,2007,Dance,
One More Time,Daft Punk,D,122.880,2000,Dance,
Can't Get You Out Of My Head,Kylie Minogue,Dm,125.980,2001,Dance,
Lady (Hear Me Tonight),Modjo,Bb,126.020,2000,Dance,
Technologic,Daft Punk,Em,127.450,2005,Dance,
The Rhythm of the Night,Corona & Jenny B,Eb,127.880,1993,Dance,
It's Raining Men,Geri Halliwell,Fm,136.450,2001,Dance,
Toxic,Britney Spears,Cm,142.980,2003,Dance,
I Feel It Coming,The Weeknd & Daft Punk,Eb,93,2016,Disco,
Dancing Queen,ABBA,A,101,1976,Disco,
Kung Fu Fighting,Carl Douglas,D,102,1974,Disco,
Electric Feel,MGMT,Cm,103,2007,Disco,
I Just Might,Bruno Mars,F,103,2026,Disco,
Espresso,Sabrina Carpenter,Am,104,2024,Disco,
Stayin' Alive,Bee Gees,Fm,105,1977,Disco,
More Than a Woman,Bee Gees,E,106,1977,Disco,
24K Magic,Bruno Mars,Fm,107,2016,Disco,
About Damn Time,Lizzo,Ebm,109,2022,Disco,
About Damn Time (clean version),Lizzo,Ebm,109,2022,Disco,
Dance the Night,Barbie (2023 film) (Dua Lipa),Bm,110,2023,Disco,
Give Me the Night,George Benson,Fm,110,1980,Disco,
Get Down on It,Kool and the Gang,Em,112,1981,Disco,
Ladies Night (Single Version),Kool and the Gang,C#m,113,1979,Disco,
Caribbean Queen (No More Love on the Run - Single Version),Billy Ocean,Dm,114,1984,Disco,
I'm Every Woman,Chaka Khan,Cm,115,1978,Disco,
Cuff It,Beyoncé,Em,115,2022,Disco,
Got to Be Real,Cheryl Lynn,Gm,115,1978,Disco,
We Are Family (album version),Sister Sledge,A,116,1979,Disco,
I Will Survive,Gloria Gaynor,Am,116,1978,Disco,
American Boy,Estelle & Kanye West,Em,118,2008,Disco,
We Are Family (Radio Edit),Sister Sledge,A,119,1979,Disco,
Le Freak,Chic,Am,119,1978,Disco,
Don't Stop 'Til You Get Enough,Michael Jackson,B,119,1979,Disco,
About Damn Time (Purple Disco Machine remix),Lizzo,Ebm,119,2022,Disco,
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Dm,120,1979,Disco,
Hot Stuff,Donna Summer,Gm,120,1979,Disco,
Celebration,Kool and the Gang,Ab,121,1980,Disco,
Don't Start Now,Dua Lipa,Bm,124,2019,Disco,
Don't Start Now (Purple Disco Machine remix),Dua Lipa,Bm,124,2019,Disco,
"Let's Groove,""Earth, Wind & Fire"",Bm,125,1981,Disco,"
"September,""Earth, Wind & Fire"",F#m,126,1978,Disco,"
Y.M.C.A.,Village People,F#,127,1978,Disco,
I Will Survive (Remix),Gloria Gaynor,Am,128,1990,Disco,
Disco Inferno,The Trammps (Saturday Night Fever film),C,130,1976,Disco,
"Boogie Wonderland,""Earth, Wind & Fire"",Dm,131,1979,Disco,"
Don't Go Breaking My Heart,Elton John & Kiki Dee,F,131,1976,Disco,
Mamma Mia,ABBA,D,137,1975,Disco,
It's Raining Men,Weather Girls,Fm,137,1982,Disco,
Let's Go Dancin' (Ooh La,Kool and the Gang,Ab,96.400,1970,disco,
Lose Yourself to Dance,Daft Punk & Pharrell Williams,Bbm,100.190,2013,Disco,
I Just Might (68th Annual Grammy Performance),Bruno Mars,F,104.980,2026,Disco,
Get Lucky,Daft Punk & Pharrell Williams,Bm,116.050,2013,Disco,
Fresh,Kool and the Gang,Bm,116.850,1984,Disco,
Murder on the Dancefloor,Sophie Ellis Bextor,E,117.290,2001,Disco,
Love Never Felt So Good (feat. Justin Timberlake),Michael Jackson,F,117.500,2014,Disco,
Gypsy Woman (She's Homeless - radio mix),Crystal Waters,Dm,119.875,1991,Disco,
Bad Girls,Donna Summer,Dm,120.450,1979,Disco,
"Funkytown,""Lipps, Inc."",C,122.700,1980,Disco,"
Don't Leave Me This Way,Thelma Houston,C,123.840,1973,Disco,
Macho Man,Village People,F,130.120,1978,Disco,
Disco Inferno,Tina Turner,Eb,131.255,1993,Disco,
It's Raining Men,Geri Halliwell,Fm,136.450,2001,Disco,
Come & Get It,Selena Gomez,Gm,80,2013,Electro,
Samba da Benção,Bebel Gilberto,Db,81,2004,Electro,
Starboy,The Weeknd & Daft Punk,Am,93,2016,Electro,
Friends,Anne-Marie & Marshmello,Am,95,2018,Electro,
Closer,The Chainsmokers & Halsey,Fm,95,2016,Electro,
"Taki Taki,""DJ Snake & Selena Gomez, Ozuna & Cardi B"",C#m,96,2018,Electro,"
Let Me Love You,DJ Snake & Justin Bieber,Cm,100,2016,Electro,
Happier,Marshmello & Bastille,Dm,100,2018,Electro,
New Thang,Redfoo,Gm,100,2014,Electro,
Sexual Healing (Kygo remix),Marvin Gaye,Eb,101,2013,Electro,
"Feels,""Calvin Harris & Katy Perry, Pharrell Williams & Big Sean"",Em,101,2017,Electro,"
No Lie,Dua Lipa & Sean Paul,Am,102,2016,Electro,
Stay,Zedd & Alessia Cara,Fm,102,2017,Electro,
Electric Feel,MGMT,Cm,103,2007,Electro,
What's Love Got to Do with It,Kygo,B,105,2020,Electro,
Mi gente (Remix),J Balvin feat. Beyoncé & Willy William,Em,105,2017,Electro,
Can't Help Falling in Love (Mark Ronson remix),Elvis (film),D,112,2022,Electro,
Crazy in Love (2014 remix),Beyoncé,Dm,115,2014,Electro,
A Little Less Conversation,Junkie XL & Elvis Presley,E,115,2002,Electro,
Love You Like a Love Song,Selena Gomez,C#m,117,2011,Electro,
Save Your Tears (remix),The Weeknd & Ariana Grande,C,118,2021,Electro,
Cheerleader (Felix Jaehn Remix),OMI,E,118,2014,Electro,
About Damn Time (Purple Disco Machine remix),Lizzo,Ebm,119,2022,Electro,
Stand by Me (remix),Ivan Jack (45 Stars),Bb,120,2021,Electro,
Dynamite,Taio Cruz,C#m,120,2010,Electro,
On My Knees,Rüfüs Du Sol,F,120,2021,Electro,
Dare,Gorillaz,Gm,120,2005,Electro,
Hear Me Now,Alok & Bruno Martini & Zeeba,B,122,2016,Electro,
Flowers (remix),Max Oazo & Miley Cyrus & Bonzana,Bm,122,2023,Electro,
How Deep Is Your Love,Calvin Harris,Em,122,2015,Electro,
Wherever You Go,Alok & John Martin,F,122,2021,Electro,
Innerbloom,Rüfüs Du Sol,Gm,122,2015,Electro,
Rain on Me,Lady Gaga & Ariana Grande,C#m,123,2020,Electro,
Kids,MGMT,F#m,123,2008,Electro,
One Kiss,Calvin Harris & Dua Lipa,Am,124,2018,Electro,
This Is What You Came For,Calvin Harris & Rihanna,Am,124,2016,Electro,
Bailamos (remix),Enrique Iglesias,Am,124,1999,Electro,
Don't Start Now (Purple Disco Machine remix),Dua Lipa,Bm,124,2019,Electro,
Wake Me Up!,Avicii & Aloe Blacc,Bm,124,2013,Electro,
Lose Control,Meduza & Becky Hill & Goodboys,Cm,124,2019,Electro,
Someone You Loved (Future Humans Remix),Lewis Capaldi,Db,124,2019,Electro,
Levels (album version),Avicii,C#m,126,2011,Electro,
Everything (i-Soul Remix),Michael Bublé,D,126,2008,Electro,
Que calor,Major Lazer & J Balvin & El Alfa,Eb,126,2019,Electro,
Titanium,David Guetta & Sia,Eb,126,2011,Electro,
Astronomia,Vicetone & Tony Igy,Gm,126,2014,Electro,
Shivers (remix Ofenbach),Ed Sheeran,Bm,127,2021,Electro,
Mr. Saxobeat,Alexandra Stan,Bm,127,2010,Electro,
Pursuit of Happiness (Steve Aoki remix),Kid Cudi & MGMT & Ratatat,Am,128,2009,Electro,
Where Have You Been,Rihanna,Cm,128,2011,Electro,
Without You,David Guetta & Usher,D,128,2011,Electro,
Love Generation,Bob Sinclar & Gary Pine,Db,128,2005,Electro,
Destination Calabria,Alex Gaudino,Dm,128,2007,Electro,
Feel So Close,Calvin Harris,G,128,2011,Electro,
I Gotta Feeling (David Guetta FMIF Remix),Black Eyed Peas,G,128,2009,Electro,
Fergalicious,Fergie & will.i.am,Bbm,129,2006,Electro,
Don't You Worry Child,Swedish House Mafia & John Martin,Bm,129,2012,Electro,
Boom Boom Pow,Black Eyed Peas,Am,130,2009,Electro,
Satisfaction,Benny Benassi,Bb,130,2002,Electro,
Memories,David Guetta & Kid Cudi,Bbm,130,2009,Electro,
Day 'n' Nite,Kid Cudi & Crookers,Em,130,2008,Electro,
Scream & Shout,will.i.am & Britney Spears,Gm,130,2012,Electro,
Dark Horse,Katy Perry & Juicy J,Bbm,132,2013,Electro,
L'amour Toujours,Gigi D'Agostino,D,135,2000,Electro,
19-2000,Gorillaz,G,89.750,2001,Electro,
Lose Yourself to Dance,Daft Punk & Pharrell Williams,Bbm,100.190,2013,Electro,
On Melancholy Hill,Gorillaz,D,120.410,2010,Electro,
Around the World,Daft Punk,Em,121.300,1997,Electro,
One More Time,Daft Punk,D,122.880,2000,Electro,
Lady (Hear Me Tonight),Modjo,Bb,126.020,2000,Electro,
Technologic,Daft Punk,Em,127.450,2005,Electro,
Patience,Guns N' Roses,F#,61,1989,Folk,
Bubbly,Colbie Caillat,A,65,2007,Folk,
Same Mistake,James Blunt,Bb,77,2007,Folk,
Ho Hey,The Lumineers,C,79,2012,Folk,
Thinking Out Loud,Ed Sheeran,D,79,2014,Folk,
Sailor Song,Gigi Perez,G#m,95,2024,Folk,
Hey Soul Sister (Country Mix),Train,E,97,2010,Folk,
Galway Girl,Ed Sheeran,F#m,100,2017,Folk,
Sitting,Jack Johnson,C,105,2000,folk,
Better Together,Jack Johnson,F,110,2005,Folk,
Banana Pancakes,Jack Johnson,G,114,2005,Folk,
Have You Ever Seen the Rain,Creedence Clearwater Revival,C,116,1970,Folk,
Proud Mary,Creedence Clearwater Revival,D,121,1969,Folk,
Budapest,George Ezra,F,128,2013,Folk,
Here Comes the Sun,The Beatles,A,130,1969,Folk,
Cold Heart,Boyce Avenue,Bbm,115.990,2022,Folk,
Alors on danse,Stromae,C#m,120,2009,French pop,
Bésame mucho (Techno Remix),Dalida,Am,126,1997,French pop,
It Ain't Over 'til It's Over,Lenny Kravitz,Db,80,1991,Funk,
God Was Showing Off,Bruno Mars,F#,80,2026,Funk,
Them Changes,Thundercat,Ebm,81,2015,Funk,
Smokin Out the Window,Silk Sonic,D,82,2021,Funk,
Sunday Morning,Maroon 5,C,88,2004,Funk,
Give It Away,Red Hot Chili Peppers,Am,91,1991,Funk,
Just the Two of Us,Grover Washington Jr. & Bill Withers,Fm,96,1981,Funk,
The Payback,James Brown,Bbm,98,1973,Funk,
Versace on the Floor (vs David Guetta),Bruno Mars,D,100,2017,Funk,
Fly as Me,Silk Sonic,Em,100,2021,Funk,
Superstition,Stevie Wonder,Ebm,101,1972,Funk,
"Feels,""Calvin Harris & Katy Perry, Pharrell Williams & Big Sean"",Em,101,2017,Funk,"
Kung Fu Fighting,Carl Douglas,D,102,1974,Funk,
Finesse (remix),Bruno Mars & Cardi B,Fm,105,2018,Funk,
24K Magic,Bruno Mars,Fm,107,2016,Funk,
Sir Duke,Stevie Wonder,B,108,1977,Funk,
Get Up (I Feel Like Being a) Sex Machine,James Brown,Ebm,108,1970,Funk,
"In the Stone (Intro only),""Earth, Wind & Fire"",B,109,1979,Funk,"
About Damn Time,Lizzo,Ebm,109,2022,Funk,
About Damn Time (clean version),Lizzo,Ebm,109,2022,Funk,
Chameleon,Herbie Hancock,Bbm,111,1973,Funk,
Say So,Doja Cat,D,111,2019,Funk,
Cold Sweat,James Brown,D,112,1967,funk,
Skate,Silk Sonic,Dm,112,2021,Funk,
Get Down on It,Kool and the Gang,Em,112,1981,Funk,
Break My Heart,Dua Lipa,Em,113,2020,Funk,
"In the Stone,""Earth, Wind & Fire"",B,114,1979,Funk,"
Caribbean Queen (No More Love on the Run - Single Version),Billy Ocean,Dm,114,1984,Funk,
I'm Every Woman,Chaka Khan,Cm,115,1978,Funk,
Uptown Funk,Bruno Mars & Mark Ronson,Dm,115,2014,Funk,
Treasure,Bruno Mars,Cm,116,2012,Funk,
American Boy,Estelle & Kanye West,Em,118,2008,Funk,
Le Freak,Chic,Am,119,1978,Funk,
Isn't She Lovely,Stevie Wonder,E,119,1976,Funk,
Cake By The Ocean (clean),DNCE,Em,119,2015,Funk,
Cake by the Ocean,DNCE,Em,119,2015,Funk,
Sugar,Maroon 5,Db,120,2014,Funk,
Celebration,Kool and the Gang,Ab,121,1980,Funk,
What a Fool Believes,The Doobie Brothers,Bbm,121,1978,Funk,
This Girl,Kungs,Eb,122,2016,Funk,
"Let's Groove,""Earth, Wind & Fire"",Bm,125,1981,Funk,"
Higher Ground,Stevie Wonder,Ebm,125,1973,Funk,
"September,""Earth, Wind & Fire"",F#m,126,1978,Funk,"
Bonde do Brunão,Bruno Mars,Bbm,130,2025,Funk,
On My Soul,Bruno Mars,Ebm,130,2026,Funk,
"Boogie Wonderland,""Earth, Wind & Fire"",Dm,131,1979,Funk,"
Beggin',Måneskin,Bm,134,2017,Funk,
Higher Ground,Red Hot Chili Peppers,Em,141,1989,Funk,
Proud Mary,Tina Turner & Ike Turner,D,156,1971,Funk,
Happy,Pharrell Williams,Fm,160,2013,Funk,
Virtual Insanity,Jamiroquai,Ebm,91.990,1996,Funk,
Just the Two of Us,Bill Withers,Fm,95.890,1980,Funk,
Lose Yourself to Dance,Daft Punk & Pharrell Williams,Bbm,100.190,2013,Funk,
P.D.A. (We Just Don't Care),John Legend,B,111.500,2007,Funk,
Get Lucky,Daft Punk & Pharrell Williams,Bm,116.050,2013,Funk,
Fresh,Kool and the Gang,Bm,116.850,1984,Funk,
Get Up Offa That Thing,James Brown,F#,117.970,1976,Funk,
"Funkytown,""Lipps, Inc."",C,122.700,1980,Funk,"
Papa Was a Rolling Stone,The Temptations,Bbm,123.972,1972,Funk,
Love Theory,Kirk Franklin,Bbm,97,2019,Gospel,
Civil War,Guns N' Roses,Ebm,75,1993,Hard Rock,
November Rain,Guns N' Roses,B,80,1992,Hard Rock,
Paradise City,Guns N' Roses,F#,103,1987,Hard Rock,
Livin' on a Prayer,Bon Jovi,Em,123,1986,Hard Rock,
